q_offset,i_offset,n_offset,m_offset,detectable_2.5,detectable_5.0,detectable_7.5,detectable_10.0,detectable_sum
-94.0,-2.4000000000000004,-2.0,-1.0,0,0,1,1,2
-94.0,-2.3,-2.0,-1.0,0,1,1,1,3
-94.0,-2.2,-1.9,-1.0,0,0,1,1,2
-94.0,-2.1,-1.8,-1.0,0,0,1,1,2
-94.0,-2.0,-1.8,-1.1,0,0,0,1,1
-94.0,-2.0,-1.7,-1.0,0,0,1,1,2
-94.0,-1.9,-1.7,-1.0,0,1,1,1,3
-94.0,-1.9,-1.7,-1.1,0,0,1,1,2
-94.0,-1.9,-1.6,-1.0,0,0,0,1,1
-94.0,-1.7999999999999998,-1.6,-1.0,0,0,1,1,2
-94.0,-1.7999999999999998,-1.6,-1.1,0,0,1,1,2
-94.0,-1.7000000000000002,-1.5,-1.0,0,0,0,1,1
-94.0,-1.7000000000000002,-1.5,-1.1,0,0,0,1,1
-94.0,-1.6,-1.4,-1.0,0,0,1,1,2
-94.0,-1.5,-1.3,-1.0,0,0,0,1,1
-94.0,-1.5,-1.3,-0.9,0,0,0,1,1
-94.0,-1.4,-1.3,-1.1,0,1,1,1,3
-94.0,-1.2999999999999998,-1.2000000000000002,-1.1,0,1,1,1,3
-94.0,-1.2999999999999998,-1.2000000000000002,-1.0,0,0,0,1,1
-94.0,-1.2000000000000002,-1.1,-1.1,0,0,1,1,2
-94.0,-1.2000000000000002,-1.1,-1.0,0,0,1,1,2
-94.0,-1.2000000000000002,-1.1,-0.9,0,0,0,1,1
-94.0,-1.1,-1.0,-1.0,0,0,0,1,1
-94.0,-0.7999999999999998,-0.7999999999999998,-1.0,0,0,1,1,2
-94.0,-0.7999999999999998,-0.7999999999999998,-1.1,0,1,1,1,3
-94.0,-0.7999999999999998,-0.7999999999999998,-0.9,0,0,0,1,1
-94.0,-0.7000000000000002,-0.7000000000000002,-1.0,0,0,1,1,2
-94.0,-0.7000000000000002,-0.7000000000000002,-1.1,0,0,1,1,2
-94.0,-0.2999999999999998,-0.3999999999999999,-1.2,0,0,0,1,1
-94.0,-0.2999999999999998,-0.3999999999999999,-1.0,0,0,1,1,2
-94.0,-0.20000000000000012,-0.3000000000000003,-1.1,0,0,0,1,1
-94.0,0.2999999999999998,0.10000000000000007,-1.2,0,0,0,1,1
-94.0,0.2999999999999998,0.10000000000000007,-1.1,0,0,0,1,1
-92.0,-2.7,-2.3,-1.0,0,1,1,1,3
-92.0,-2.6,-2.3,-1.0,0,0,1,1,2
-92.0,-2.6,-2.2,-1.0,0,1,1,1,3
-92.0,-2.5,-2.2,-1.0,0,0,1,1,2
-92.0,-2.5,-2.1,-1.0,0,1,1,1,3
-92.0,-2.4000000000000004,-2.1,-1.0,0,1,1,1,3
-92.0,-2.4000000000000004,-2.0,-1.0,0,0,0,1,1
-92.0,-2.3,-2.0,-1.0,0,1,1,1,3
-92.0,-2.2,-1.9,-1.0,0,1,1,1,3
-92.0,-2.1,-1.8,-1.0,0,1,1,1,3
-92.0,-2.0,-1.8,-1.0,1,1,1,1,4
-92.0,-2.0,-1.7,-1.0,0,0,1,1,2
-92.0,-1.9,-1.7,-1.0,0,1,1,1,3
-92.0,-1.9,-1.6,-1.0,0,0,0,1,1
-92.0,-1.7999999999999998,-1.6,-1.0,0,1,1,1,3
-92.0,-1.7999999999999998,-1.6,-0.9,0,0,0,1,1
-92.0,-1.7000000000000002,-1.5,-0.9,0,0,0,1,1
-92.0,-1.7000000000000002,-1.5,-1.0,0,0,1,1,2
-92.0,-1.6,-1.4,-1.0,0,1,1,1,3
-92.0,-1.5,-1.4,-1.1,0,0,0,1,1
-92.0,-1.5,-1.3,-0.9,0,0,0,1,1
-92.0,-1.5,-1.3,-1.0,0,0,0,1,1
-92.0,-1.4,-1.3,-1.1,0,0,1,1,2
-92.0,-1.4,-1.3,-1.0,0,0,0,1,1
-92.0,-1.2999999999999998,-1.2000000000000002,-1.1,0,0,1,1,2
-92.0,-1.2999999999999998,-1.2000000000000002,-1.0,0,0,1,1,2
-92.0,-1.2000000000000002,-1.1,-0.9,0,0,0,1,1
-92.0,-1.2000000000000002,-1.1,-1.1,0,0,0,1,1
-92.0,-1.2000000000000002,-1.1,-1.0,0,1,1,1,3
-92.0,-1.1,-1.0,-1.0,0,0,1,1,2
-92.0,-1.1,-1.0,-0.9,0,0,0,1,1
-92.0,-0.8999999999999999,-0.8999999999999999,-1.1,0,1,1,1,3
-92.0,-0.7999999999999998,-0.7999999999999998,-1.1,0,1,1,1,3
-92.0,-0.7999999999999998,-0.7999999999999998,-1.0,0,0,1,1,2
-92.0,-0.7999999999999998,-0.7999999999999998,-0.9,0,0,0,1,1
-92.0,-0.7000000000000002,-0.7000000000000002,-1.0,0,0,1,1,2
-92.0,-0.7000000000000002,-0.7000000000000002,-1.1,0,0,0,1,1
-92.0,-0.3999999999999999,-0.5,-1.2,0,0,0,1,1
-92.0,-0.3999999999999999,-0.5,-0.9,0,0,0,1,1
-92.0,-0.2999999999999998,-0.3999999999999999,-1.2,0,0,0,1,1
-92.0,-0.2999999999999998,-0.3999999999999999,-1.0,0,0,1,1,2
-92.0,-0.2999999999999998,-0.3999999999999999,-1.1,0,1,1,1,3
-92.0,-0.20000000000000012,-0.3000000000000003,-1.0,0,0,0,1,1
-92.0,-0.20000000000000012,-0.3000000000000003,-1.1,0,0,0,1,1
-92.0,0.20000000000000012,0.0,-1.2,0,0,0,1,1
-92.0,0.2999999999999998,0.10000000000000007,-1.2,0,0,0,1,1
-92.0,0.2999999999999998,0.10000000000000007,-1.1,0,0,0,1,1
-92.0,0.7999999999999998,0.5,-1.2,0,0,0,1,1
-90.0,-3.0,-2.5,-1.0,0,0,0,1,1
-90.0,-2.9000000000000004,-2.5,-1.0,0,0,0,1,1
-90.0,-2.8,-2.4,-1.0,0,0,1,1,2
-90.0,-2.7,-2.3,-1.0,0,0,1,1,2
-90.0,-2.6,-2.3,-1.0,0,0,0,1,1
-90.0,-2.6,-2.2,-1.0,0,0,1,1,2
-90.0,-2.5,-2.2,-1.0,0,0,1,1,2
-90.0,-2.5,-2.1,-1.0,0,0,1,1,2
-90.0,-2.4000000000000004,-2.1,-1.0,0,0,1,1,2
-90.0,-2.4000000000000004,-2.0,-1.0,0,0,0,1,1
-90.0,-2.3,-2.0,-1.0,0,1,1,1,3
-90.0,-2.2,-1.9,-1.0,0,1,1,1,3
-90.0,-2.1,-1.9,-1.0,0,0,0,1,1
-90.0,-2.1,-1.8,-1.0,0,1,1,1,3
-90.0,-2.0,-1.8,-1.0,0,1,1,1,3
-90.0,-2.0,-1.7,-1.0,0,0,1,1,2
-90.0,-1.9,-1.7,-1.0,1,1,1,1,4
-90.0,-1.9,-1.7,-0.9,0,1,1,1,3
-90.0,-1.9,-1.6,-0.9,0,0,1,1,2
-90.0,-1.7999999999999998,-1.6,-1.0,1,1,1,1,4
-90.0,-1.7999999999999998,-1.6,-0.9,0,0,1,1,2
-90.0,-1.7000000000000002,-1.5,-1.0,0,1,1,1,3
-90.0,-1.7000000000000002,-1.5,-0.9,0,0,0,1,1
-90.0,-1.6,-1.4,-0.9,0,0,0,1,1
-90.0,-1.6,-1.4,-1.0,0,1,1,1,3
-90.0,-1.5,-1.3,-1.0,0,0,0,1,1
-90.0,-1.5,-1.3,-0.9,0,0,1,1,2
-90.0,-1.4,-1.3,-1.1,0,0,0,1,1
-90.0,-1.4,-1.3,-1.0,0,1,1,1,3
-90.0,-1.2999999999999998,-1.2000000000000002,-1.0,0,1,1,1,3
-90.0,-1.2999999999999998,-1.2000000000000002,-1.1,0,0,0,1,1
-90.0,-1.2000000000000002,-1.1,-1.0,0,1,1,1,3
-90.0,-1.2000000000000002,-1.1,-0.9,0,0,0,1,1
-90.0,-1.1,-1.0,-0.9,0,0,0,1,1
-90.0,-1.1,-1.0,-1.0,0,0,1,1,2
-90.0,-0.8999999999999999,-0.8999999999999999,-1.1,0,0,1,1,2
-90.0,-0.7999999999999998,-0.7999999999999998,-1.1,0,0,1,1,2
-90.0,-0.7999999999999998,-0.7999999999999998,-1.0,0,1,1,1,3
-90.0,-0.7999999999999998,-0.7999999999999998,-0.9,0,0,0,1,1
-90.0,-0.7000000000000002,-0.7000000000000002,-0.9,0,0,0,1,1
-90.0,-0.7000000000000002,-0.7000000000000002,-1.1,0,0,0,1,1
-90.0,-0.7000000000000002,-0.7000000000000002,-1.0,0,1,1,1,3
-90.0,-0.6000000000000001,-0.6000000000000001,-1.0,0,0,0,1,1
